id,day,month,year,hh,mm,ss,x,y,utm.zone,external-temp,height-above-msl
1,1,6,14,12,0,33,541231.4865,7140591.663,35S,13.5,1161
2,2,6,14,12,1,34,536260.0017,7140470.079,35S,13.5,1161
3,3,6,14,12,0,54,533684.4891,7141923.227,35S,25.5,1164
4,4,6,14,12,0,33,529026.4853,7142802.537,35S,22.5,1167
5,5,6,14,12,0,34,528905.9541,7141767.358,35S,30.5,1167
6,6,6,14,12,0,33,528948.1843,7141831.496,35S,28,1161
7,8,6,14,12,0,33,533190.6296,7142000.894,35S,22,1164
8,9,6,14,12,0,33,538040.299,7139319.963,35S,24.5,1161
9,10,6,14,12,0,33,529747.6988,7141749.98,35S,24,1216
10,12,6,14,12,0,33,529454.6528,7142007.562,35S,26,1209
11,13,6,14,12,0,33,539313.2422,7139141.245,35S,22.5,1219
12,14,6,14,12,0,59,535059.0929,7141044.768,35S,20.5,1213
13,15,6,14,12,0,33,543774.4453,7138709.652,35S,29,1216
14,16,6,14,12,0,34,530178.4674,7141686.984,35S,29.5,1184
15,17,6,14,12,0,33,533128.3744,7141952.323,35S,17,1198
16,18,6,14,12,2,4,532991.4579,7142503.06,35S,16.5,1206
17,19,6,14,12,0,33,530271.7256,7142149.675,35S,34,1186
18,20,6,14,12,0,58,533282.7845,7141984.05,35S,27,1204
19,21,6,14,12,0,33,533223.5945,7142356.296,35S,23.5,1231
20,22,6,14,12,0,33,533398.8389,7142302.696,35S,21.5,1229
21,23,6,14,12,0,33,533373.8214,7142317.156,35S,29.5,1191
22,24,6,14,12,0,33,533682.6657,7141602.077,35S,26.5,1179
23,25,6,14,12,0,34,531378.2425,7136325.312,35S,20.5,1226
24,26,6,14,12,0,33,531338.594,7136501.489,35S,17,1225
25,27,6,14,12,0,33,531338.594,7136501.489,35S,30,1241
26,28,6,14,12,0,33,531341.5992,7136501.482,35S,29,1221
27,29,6,14,12,0,33,534038.0769,7141470.486,35S,20,1228
28,1,7,14,12,0,33,545924.4028,7138667.992,35S,21,1193
29,2,7,14,12,0,57,533950.9769,7140725.408,35S,36,1226
30,4,7,14,12,1,4,533163.4283,7142342.051,35S,29.5,1209
31,5,7,14,12,0,33,533332.1143,7142468.98,35S,20,1208
32,6,7,14,12,0,59,533325.0935,7142466.783,35S,17.5,1210
33,7,7,14,12,0,33,533700.8794,7141670.691,35S,32,1203
34,8,7,14,12,0,33,530262.8003,7142190.671,35S,27.5,1183
35,9,7,14,12,1,3,528899.5032,7143395.288,35S,23.5,1189
36,10,7,14,12,0,33,530507.2016,7141703.946,35S,19,1186
37,11,7,14,12,0,33,528857.5569,7143462.933,35S,35.5,1181
38,12,7,14,12,0,33,526631.2513,7146786.557,35S,27.5,1169
39,13,7,14,12,0,33,527900.3637,7146285.596,35S,16,1164
40,14,7,14,12,0,33,529079.7973,7141982.924,35S,16,1163
41,15,7,14,12,0,33,536869.82,7139604.584,35S,32.5,1162
42,17,7,14,12,0,33,540844.114,7138789.952,35S,28.5,1161
43,18,7,14,12,0,33,538803.8172,7138312.176,35S,20,1163
44,19,7,14,12,0,34,538364.5131,7139520.576,35S,22,1151
45,20,7,14,12,0,33,538829.4094,7139175.905,35S,28,1142
46,21,7,14,12,0,33,538725.1356,7139491.833,35S,27.5,1122
47,23,7,14,12,0,33,544711.2472,7139893.688,35S,21.5,1149
48,24,7,14,12,0,33,550557.2927,7139199.196,35S,13,1144
49,25,7,14,12,1,34,550229.1516,7140643.47,35S,29,1149
